,,Class of probability of exposure in operational situations (see Table 2)  
,,E1  ,E2  ,E3  ,E4  
Description  ,,Very low probability  ,Low proba-bility  ,Medium probability  ,High proba-bility  
Duration (% of average operating time)  ,,Not specified  ,<1 % of average operating time  ,1 % to 10 % of average operating time  ,>10 % of average operating time  
Examples for  ,driving in reverse  ,—  ,"LH, CB, CO,  IB  ","DI, VO  ",—  
,overtaking another truck or bus with small speed difference (with lane change to oncoming lane)  ,"LH, DI, VO, CO, IB  ",—  ,—  ,—  
,driving with trailer attached  ,—  ,—  ,"DI, CO, IB  ","LH, VO  "
,semi-trailer tractor without trailer attached (on public road)  ,—  ,"LH, DI, VO  ",—  ,—  
,"driving on construction site (vehicle is driving directly on construction site, not only for delivering goods to construc-tion site)  ",LH  ,DI  ,—  ,VO  
,steep slope  ,"LH, CB  ","DI, CO, IB  ",VO  ,—  
,standing at a bus stop  ,—  ,—  ,CO  ,"CB, IB  "
,entering/driving off from bus stop  ,—  ,CO  ,"CB, IB  ",—  
"The informative examples in Table B.2 can be applied situations occurring in both, Table B.2 and Table B.4, Table B.4  ","to T&B, but  is considered  ",are considered  more appropriate  ,on a case by  for T&B.  ,case basis. For  
